exchange,date,symbol,isin,open,high,low,close,volume,series,last,prevclose,tottrdval,timestamp,totaltrades,sc_group,no_trades,net_turnov,tdcloindi
bse,2018-07-30,CREATIVE,539527,265.2,265.2,265.2,265.2,34,EQ,265.2,260,NA,NA,NA,XT,1,9016,NA
bse,2018-07-30,AAYUSH,539528,41.15,42.9,38,40.05,1342,EQ,40.05,43.75,NA,NA,NA,X,21,55219,NA
bse,2018-07-30,LUXIND,539542,1878.8,1891.7,1813.6,1835.4,1352,EQ,1835.4,1883.7,NA,NA,NA,B,78,2531397,NA
bse,2018-07-30,ABHIINFRA,539544,3.25,3.5,3.25,3.25,2180,EQ,3.25,3.4,NA,NA,NA,XT,7,7210,NA
bse,2018-07-30,NH,539551,250.05,258.3,250,256.15,1458,EQ,256.5,250.35,NA,NA,NA,B,63,371204,NA
bse,2018-07-30,DDIL,539559,10.25,10.25,10.25,10.25,1,EQ,10.25,10.5,NA,NA,NA,XT,1,10,NA
bse,2018-07-30,ROXY,539561,12.85,13.1,12.85,12.96,52146,EQ,12.95,12.9,NA,NA,NA,XT,58,676005,NA
bse,2018-07-30,OFSTECH,539570,14.1,14.1,14.1,14.1,6000,EQ,14.1,14,NA,NA,NA,M,1,84600,NA
bse,2018-07-30,NATECO,539595,71,81,61.2,76.25,66468,EQ,74.3,73.2,NA,NA,NA,X,194,5096093,NA
bse,2018-07-30,JSLHISAR,539597,131.05,131.7,128.8,129.5,8649,EQ,129.5,131.5,NA,NA,NA,B,203,1122592,NA
bse,2018-07-30,KEL,539599,19.2,19.25,19.2,19.25,101,EQ,19.25,19.15,NA,NA,NA,X,2,1939,NA
bse,2018-07-30,AINFRA,539620,19.45,19.45,18.75,18.75,711,EQ,18.75,19.1,NA,NA,NA,X,9,13440,NA
bse,2018-07-30,PRECAM,539636,79.4,81,76.7,79.25,4597,EQ,79.75,78.3,NA,NA,NA,B,97,366052,NA
bse,2018-07-30,TEAMLEASE,539658,2678,2745,2668.5,2690.2,642,EQ,2687.5,2665.35,NA,NA,NA,B,129,1735151,NA
bse,2018-07-30,SAHYOGMULT,539660,5.32,5.32,5.32,5.32,1005,EQ,5.32,5.07,NA,NA,NA,XT,2,5346,NA
bse,2018-07-30,QUICKHEAL,539678,267.65,274.55,267,269.7,13397,EQ,269.7,265.4,NA,NA,NA,B,349,3621240,NA
bse,2018-07-30,KPEL,539686,176,221,176,221,3200,EQ,221,205,NA,NA,NA,M,4,635200,NA
bse,2018-07-30,ALORA,539693,1.88,1.9,1.88,1.9,11431,EQ,1.9,1.87,NA,NA,NA,X,19,21717,NA
bse,2018-07-30,HYPERSOFT,539724,7.85,7.87,7.5,7.87,5196,EQ,7.87,7.5,NA,NA,NA,X,11,40832,NA
bse,2018-07-30,GOKULAGRO,539725,12.75,13,12.01,12.7,43042,EQ,12.7,12.81,NA,NA,NA,B,204,538697,NA
bse,2018-07-30,FREDUN,539730,308,312,308,311.75,2451,EQ,310.05,305.9,NA,NA,NA,XT,21,762937,NA
bse,2018-07-30,SIMBHALS,539742,10.47,10.47,9,9.64,3514,EQ,9.64,8.9,NA,NA,NA,B,37,33954,NA
bse,2018-07-30,RELICAB,539760,38,38,38,38,18000,EQ,38,40.5,NA,NA,NA,M,3,684e3,NA
bse,2018-07-30,VKAL,539761,5,5,5,5,1,EQ,5,5,NA,NA,NA,XT,1,5,NA
bse,2018-07-30,DARJEELING,539770,45.55,46.4,44.1,45.55,12707,EQ,45.55,45,NA,NA,NA,XT,41,575717,NA
bse,2018-07-30,ADVIKCA,539773,3.1,3.1,3.1,3.1,670,EQ,3.1,3,NA,NA,NA,X,4,2077,NA
bse,2018-07-30,PDMJEPAPER,539785,26,26.15,25.65,25.7,11761,EQ,25.65,25.65,NA,NA,NA,B,46,304907,NA
bse,2018-07-30,HCG,539787,273.8,278.45,270,271.35,154,EQ,271.35,269.65,NA,NA,NA,B,7,41923,NA
bse,2018-07-30,UMIYA,539798,92.5,93.5,91.1,92.25,73675,EQ,92.8,93.75,NA,NA,NA,B,249,6799980,NA
bse,2018-07-30,BHARATWIRE,539799,97.4,100.6,96.4,97.55,15742,EQ,96.8,97.65,NA,NA,NA,B,211,1546656,NA
bse,2018-07-30,H1190M36RG,539806,11.85,11.85,11.85,11.85,5000,EQ,11.85,11.71,NA,NA,NA,F,2,59250,NA
bse,2018-07-30,INFIBEAM,539807,182.85,185,177.5,182.15,1837968,EQ,183,183.1,NA,NA,NA,A,3387,332806265,NA
bse,2018-07-30,FRANKLIN,539839,19,20.25,19,20,44000,EQ,20,19.45,NA,NA,NA,M,11,881e3,NA
bse,2018-07-30,LANCER,539841,55.1,60.8,55.1,60,1587,EQ,60,57.95,NA,NA,NA,B,8,90620,NA
bse,2018-07-30,SYSCO,539842,4.23,4.23,4.23,4.23,2500,EQ,4.23,4.31,NA,NA,NA,M,1,10575,NA
bse,2018-07-30,NINSYS,539843,16,16,16,16,10000,EQ,16,16,NA,NA,NA,M,1,16e4,NA
bse,2018-07-30,EQUITAS,539844,140.9,142.55,135.5,139.15,250684,EQ,139.15,139.05,NA,NA,NA,A,2384,34745900,NA
bse,2018-07-30,GOLDENCAP,539853,30.5,30.5,30.5,30.5,1,EQ,30.5,32.1,NA,NA,NA,XT,1,30,NA
bse,2018-07-30,SKIL,539861,26.9,26.9,26.3,26.3,390,EQ,26.3,25.7,NA,NA,NA,B,3,10407,NA
bse,2018-07-30,THYROCARE,539871,609,633,609,628.95,6279,EQ,628.95,593.5,NA,NA,NA,B,482,3937461,NA
bse,2018-07-30,UJJIVAN,539874,389.2,391.4,383.2,388.05,51147,EQ,388.05,391.5,NA,NA,NA,A,709,19785821,NA
bse,2018-07-30,RSDFIN,539875,57.75,59,53.6,59,7,EQ,59,56.2,NA,NA,NA,X,6,399,NA
bse,2018-07-30,CROMPTON,539876,244.05,246,238.4,239.05,35429,EQ,239,244.55,NA,NA,NA,A,506,8530636,NA
bse,2018-07-30,PILANIINVS,539883,2381,2505,2365.6,2400,150,EQ,2400,2386.95,NA,NA,NA,T,15,364699,NA
bse,2018-07-30,DARSHANORNA,539884,119,119,119,119,1000,EQ,119,110,NA,NA,NA,M,1,119e3,NA
